size,time(ms)(hybrid),time(ms)(merge),cmp(hybrid),cmp(merge)
2147483647,65,82,44190834,18671160
2147483647,64,83,44190834,18671160
2147483647,65,82,44190834,18671160
2147483647,65,82,44190834,18671160
2147483647,64,82,44190834,18671160
2147483647,64,82,44190834,18671160
2147483647,65,84,44190834,18671160
2147483647,65,83,44190834,18671160
2147483647,66,81,44190834,18671160
2147483647,65,82,44190834,18671160
2147483647,64,83,44190834,18671160
2147483647,64,84,44190834,18671160
2147483647,65,83,44190834,18671160
2147483647,64,82,44190834,18671160
2147483647,65,81,44190834,18671160
2147483647,65,83,44190834,18671160
2147483647,65,85,44190834,18671160
2147483647,64,84,44190834,18671160
2147483647,64,90,44190834,18671160
2147483647,65,82,44190834,18671160
2147483647,65,82,44190834,18671160
2147483647,65,82,44190834,18671160
2147483647,65,84,44190834,18671160
2147483647,64,82,44190834,18671160
2147483647,64,83,44190834,18671160
2147483647,65,82,44190834,18671160
2147483647,65,82,44190834,18671160
2147483647,65,82,44190834,18671160
2147483647,64,84,44190834,18671160
2147483647,64,83,44190834,18671160
2147483647,64,83,44190834,18671160
2147483647,65,82,44190834,18671160
2147483647,64,82,44190834,18671160
2147483647,64,82,44190834,18671160
2147483647,65,82,44190834,18671160
2147483647,65,83,44190834,18671160
2147483647,65,83,44190834,18671160
2147483647,65,84,44190834,18671160
2147483647,64,83,44190834,18671160
2147483647,66,84,44190834,18671160
2147483647,66,84,44190834,18671160
2147483647,66,85,44190834,18671160
2147483647,66,92,44190834,18671160
2147483647,66,84,44190834,18671160
2147483647,64,83,44190834,18671160
2147483647,64,103,44190834,18671160
2147483647,71,84,44190834,18671160
2147483647,65,83,44190834,18671160
2147483647,66,82,44190834,18671160
2147483647,66,83,44190834,18671160
2147483647,65,84,44190834,18671160
2147483647,64,83,44190834,18671160
2147483647,65,83,44190834,18671160
2147483647,64,82,44190834,18671160
2147483647,66,82,44190834,18671160
2147483647,65,82,44190834,18671160
2147483647,65,84,44190834,18671160
2147483647,65,82,44190834,18671160
2147483647,66,83,44190834,18671160
2147483647,66,83,44190834,18671160
2147483647,65,84,44190834,18671160
2147483647,65,83,44190834,18671160
2147483647,66,84,44190834,18671160
2147483647,65,83,44190834,18671160
2147483647,65,83,44190834,18671160
2147483647,65,84,44190834,18671160
2147483647,64,84,44190834,18671160
2147483647,71,84,44190834,18671160
2147483647,65,83,44190834,18671160
2147483647,66,83,44190834,18671160
2147483647,66,82,44190834,18671160
2147483647,65,83,44190834,18671160
2147483647,64,83,44190834,18671160
2147483647,64,83,44190834,18671160
2147483647,64,82,44190834,18671160
2147483647,66,82,44190834,18671160
2147483647,66,82,44190834,18671160
2147483647,65,83,44190834,18671160
2147483647,69,97,44190834,18671160
2147483647,65,83,44190834,18671160
2147483647,65,83,44190834,18671160
2147483647,65,82,44190834,18671160
2147483647,65,83,44190834,18671160
2147483647,65,82,44190834,18671160
2147483647,65,82,44190834,18671160
2147483647,65,81,44190834,18671160
2147483647,64,83,44190834,18671160
2147483647,64,83,44190834,18671160
2147483647,65,83,44190834,18671160
2147483647,65,82,44190834,18671160
2147483647,66,83,44190834,18671160
2147483647,66,82,44190834,18671160
2147483647,65,83,44190834,18671160
2147483647,64,84,44190834,18671160
2147483647,65,82,44190834,18671160
2147483647,65,83,44190834,18671160
2147483647,65,82,44190834,18671160
2147483647,66,83,44190834,18671160
2147483647,65,82,44190834,18671160
2147483647,64,83,44190834,18671160
2147483647,64,82,44190834,18671160
2147483647,65,83,44190834,18671160
2147483647,65,82,44190834,18671160
2147483647,66,83,44190834,18671160
2147483647,64,83,44190834,18671160
2147483647,65,83,44190834,18671160
2147483647,65,83,44190834,18671160
2147483647,65,82,44190834,18671160
2147483647,65,84,44190834,18671160
2147483647,64,83,44190834,18671160
2147483647,64,83,44190834,18671160
2147483647,64,83,44190834,18671160
2147483647,65,83,44190834,18671160
2147483647,66,82,44190834,18671160
2147483647,65,83,44190834,18671160
2147483647,65,83,44190834,18671160
2147483647,65,83,44190834,18671160
2147483647,64,83,44190834,18671160
2147483647,65,83,44190834,18671160
2147483647,64,83,44190834,18671160
2147483647,71,83,69522846,18671160
2147483647,73,83,73715934,18671160
2147483647,74,82,73715934,18671160
2147483647,74,83,73715934,18671160
2147483647,74,89,73715934,18671160
2147483647,74,83,73715934,18671160
2147483647,74,83,73715934,18671160
2147483647,73,84,73715934,18671160
2147483647,73,83,73715934,18671160
2147483647,73,82,73715934,18671160
2147483647,73,82,73715934,18671160
2147483647,74,82,73715934,18671160
2147483647,74,82,73715934,18671160
2147483647,74,82,73715934,18671160
2147483647,74,83,73715934,18671160
2147483647,73,83,73715934,18671160
2147483647,73,83,73715934,18671160
2147483647,73,83,73715934,18671160
2147483647,75,82,73715934,18671160
2147483647,74,82,73715934,18671160
2147483647,74,82,73715934,18671160
2147483647,74,83,73715934,18671160
2147483647,73,83,73715934,18671160
2147483647,73,84,73715934,18671160
2147483647,73,83,73715934,18671160
2147483647,73,82,73715934,18671160
2147483647,74,83,73715934,18671160
2147483647,75,82,73715934,18671160
2147483647,74,83,73715934,18671160
2147483647,73,83,73715934,18671160
2147483647,74,82,73715934,18671160
2147483647,74,82,73715934,18671160
2147483647,74,83,73715934,18671160
2147483647,74,83,73715934,18671160
2147483647,73,83,73715934,18671160
2147483647,73,83,73715934,18671160
2147483647,73,84,73715934,18671160
2147483647,74,82,73715934,18671160
2147483647,74,82,73715934,18671160
2147483647,74,82,73715934,18671160
2147483647,75,82,73715934,18671160
2147483647,73,83,73715934,18671160
2147483647,73,83,73715934,18671160
2147483647,73,87,73715934,18671160
2147483647,74,83,73715934,18671160
2147483647,74,83,73715934,18671160
2147483647,74,82,73715934,18671160
2147483647,74,82,73715934,18671160
2147483647,75,83,73715934,18671160
2147483647,73,83,73715934,18671160
2147483647,73,83,73715934,18671160
2147483647,73,83,73715934,18671160
2147483647,73,83,73715934,18671160
2147483647,73,82,73715934,18671160
2147483647,74,82,73715934,18671160
2147483647,73,83,73715934,18671160
2147483647,74,82,73715934,18671160
2147483647,74,84,73715934,18671160
2147483647,73,83,73715934,18671160
2147483647,74,82,73715934,18671160
2147483647,74,83,73715934,18671160
2147483647,75,84,73715934,18671160
2147483647,73,82,73715934,18671160
2147483647,73,83,73715934,18671160
2147483647,73,83,73715934,18671160
2147483647,74,82,73715934,18671160
2147483647,74,82,73715934,18671160
2147483647,75,82,73715934,18671160
2147483647,73,83,73715934,18671160
2147483647,73,83,73715934,18671160
2147483647,73,83,73715934,18671160
2147483647,73,83,73715934,18671160
2147483647,73,83,73715934,18671160
2147483647,74,82,73715934,18671160
2147483647,74,83,73715934,18671160
2147483647,74,82,73715934,18671160
2147483647,74,83,73715934,18671160
2147483647,73,83,73715934,18671160
2147483647,72,84,73715934,18671160
2147483647,73,83,73715934,18671160
2147483647,74,83,73715934,18671160
2147483647,74,82,73715934,18671160
2147483647,74,82,73715934,18671160
2147483647,74,82,73715934,18671160
2147483647,74,83,73715934,18671160
2147483647,73,83,73715934,18671160
2147483647,73,83,73715934,18671160
2147483647,73,83,73715934,18671160
2147483647,74,82,73715934,18671160
2147483647,73,83,73715934,18671160
2147483647,74,83,73715934,18671160
2147483647,73,84,73715934,18671160
2147483647,74,83,73715934,18671160
2147483647,74,82,73715934,18671160
2147483647,74,82,73715934,18671160
2147483647,74,84,73715934,18671160
2147483647,73,83,73715934,18671160
2147483647,73,83,73715934,18671160
2147483647,73,82,73715934,18671160
2147483647,73,82,73715934,18671160
2147483647,73,82,73715934,18671160
2147483647,74,83,73715934,18671160
2147483647,74,82,73715934,18671160
2147483647,74,83,73715934,18671160
2147483647,73,83,73715934,18671160
2147483647,73,84,73715934,18671160
2147483647,73,83,73715934,18671160
2147483647,74,82,73715934,18671160
2147483647,74,83,73715934,18671160
2147483647,74,82,73715934,18671160
2147483647,74,82,73715934,18671160
2147483647,74,83,73715934,18671160
2147483647,74,83,73715934,18671160
2147483647,73,83,73715934,18671160
2147483647,73,84,73715934,18671160
2147483647,74,82,73715934,18671160
2147483647,74,83,73715934,18671160
2147483647,72,84,73715934,18671160
2147483647,72,84,73715934,18671160
2147483647,74,82,73715934,18671160
2147483647,74,82,73715934,18671160
2147483647,74,83,73715934,18671160
2147483647,75,82,73715934,18671160
2147483647,73,83,73715934,18671160
2147483647,73,84,73715934,18671160
2147483647,73,83,73715934,18671160
2147483647,73,83,73715934,18671160
2147483647,73,82,73715934,18671160
2147483647,74,82,73715934,18671160
2147483647,74,82,73715934,18671160
2147483647,75,82,73715934,18671160
2147483647,73,83,73715934,18671160
2147483647,74,83,73715934,18671160
2147483647,73,83,73715934,18671160
2147483647,73,83,73715934,18671160
2147483647,73,82,73715934,18671160
2147483647,75,81,73715934,18671160
2147483647,74,82,73715934,18671160
2147483647,74,82,73715934,18671160
2147483647,73,84,73715934,18671160
2147483647,73,83,73715934,18671160
2147483647,73,84,73715934,18671160
2147483647,73,83,73715934,18671160
2147483647,73,82,73715934,18671160
2147483647,74,81,73715934,18671160
2147483647,74,82,73715934,18671160
2147483647,74,82,73715934,18671160
2147483647,73,84,73715934,18671160
2147483647,74,82,73715934,18671160
2147483647,74,82,73715934,18671160
2147483647,74,83,73715934,18671160
2147483647,73,83,73715934,18671160
2147483647,73,82,73715934,18671160
2147483647,74,83,73715934,18671160
2147483647,73,82,73715934,18671160
2147483647,74,82,73715934,18671160
2147483647,74,82,73715934,18671160
2147483647,74,82,73715934,18671160
2147483647,74,83,73715934,18671160
2147483647,74,83,73715934,18671160
2147483647,73,84,73715934,18671160
2147483647,73,83,73715934,18671160
2147483647,74,83,73715934,18671160
2147483647,73,82,73715934,18671160
2147483647,74,83,73715934,18671160
2147483647,74,82,73715934,18671160
2147483647,74,83,73715934,18671160
2147483647,73,83,73715934,18671160
2147483647,73,83,73715934,18671160
2147483647,73,83,73715934,18671160
2147483647,74,83,73715934,18671160
2147483647,74,82,73715934,18671160
2147483647,75,82,73715934,18671160
2147483647,75,82,73715934,18671160
2147483647,74,82,73715934,18671160
2147483647,72,83,73715934,18671160
2147483647,75,83,73715934,18671160
2147483647,74,82,73715934,18671160
2147483647,73,82,73715934,18671160
2147483647,74,83,73715934,18671160
2147483647,73,83,73715934,18671160
2147483647,73,83,73715934,18671160
2147483647,73,83,73715934,18671160
2147483647,74,82,73715934,18671160
2147483647,74,83,73715934,18671160
2147483647,74,82,73715934,18671160
2147483647,73,83,73715934,18671160
2147483647,73,84,73715934,18671160
2147483647,73,83,73715934,18671160
2147483647,73,84,73715934,18671160
2147483647,74,82,73715934,18671160
2147483647,74,82,73715934,18671160
2147483647,74,82,73715934,18671160
2147483647,75,82,73715934,18671160
2147483647,75,82,73715934,18671160
2147483647,73,83,73715934,18671160
2147483647,72,84,73715934,18671160
2147483647,73,83,73715934,18671160
2147483647,74,83,73715934,18671160
2147483647,75,82,73715934,18671160
2147483647,74,83,73715934,18671160
2147483647,74,82,73715934,18671160
2147483647,74,84,73715934,18671160
2147483647,81,83,73715934,18671160
2147483647,74,83,73715934,18671160
2147483647,74,82,73715934,18671160
2147483647,74,84,73715934,18671160
2147483647,73,82,73715934,18671160
2147483647,73,83,73715934,18671160
